epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.155,2.51178,5.51843,1.95111,0.36632,0.08189,0.03613,0.01431,2.37171,3.47987,1.72502,0.000123065,0.000123065,0.000123065
2,420.982,2.3495,4.38473,1.73573,0.42851,0.11575,0.05896,0.02348,2.31266,3.15939,1.68963,0.000222005,0.000222005,0.000222005
3,591.994,2.29155,3.8594,1.69875,0.40875,0.14136,0.08016,0.03238,2.26151,2.84293,1.67029,0.000296525,0.000296525,0.000296525
4,798.454,2.25417,3.56255,1.68712,0.37283,0.16241,0.09243,0.03596,2.2251,2.66491,1.66958,0.00026011,0.00026011,0.00026011
5,967.024,2.21173,3.31935,1.66066,0.46292,0.17951,0.11015,0.04489,2.19299,2.6119,1.65899,0.00022348,0.00022348,0.00022348
6,1172.45,2.19046,3.1362,1.63887,0.32485,0.1895,0.1233,0.05041,2.18083,2.50854,1.6519,0.00018685,0.00018685,0.00018685
7,1337.99,2.16821,3.00752,1.61393,0.38179,0.19351,0.12717,0.05142,2.17474,2.51035,1.61256,0.00015022,0.00015022,0.00015022
8,1543.24,2.1395,2.91389,1.6032,0.32447,0.22439,0.14542,0.06008,2.13907,2.44741,1.62717,0.00011359,0.00011359,0.00011359
9,1711.4,2.12026,2.8253,1.58259,0.3418,0.22538,0.14969,0.06272,2.12424,2.39119,1.60824,7.696e-05,7.696e-05,7.696e-05
10,1904.92,2.09991,2.77751,1.56945,0.37241,0.23595,0.15876,0.06528,2.11842,2.34701,1.59843,4.033e-05,4.033e-05,4.033e-05
