epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.931,2.72929,5.01122,1.90356,0.43842,0.03898,0.01875,0.00676,2.6039,3.93348,1.64385,0.000122797,0.000122797,0.000122797
2,241.673,2.58634,3.73232,1.57084,0.33791,0.12483,0.05809,0.02202,2.56115,3.0985,1.64541,0.000241257,0.000241257,0.000241257
3,340.723,2.47395,3.14196,1.55137,0.35397,0.1255,0.06233,0.02397,2.47621,2.83249,1.6504,0.000354833,0.000354833,0.000354833
4,438.583,2.40344,2.90156,1.53833,0.18702,0.17043,0.07729,0.02894,2.42161,2.84794,1.57296,0.000348022,0.000348022,0.000348022
5,546.56,2.39942,2.78631,1.52762,0.297,0.14693,0.08825,0.03464,2.41328,2.58928,1.55191,0.000340696,0.000340696,0.000340696
6,654.777,2.34957,2.68754,1.51376,0.31611,0.18912,0.10851,0.04387,2.35361,2.4149,1.51868,0.00033337,0.00033337,0.00033337
7,765.155,2.31024,2.56584,1.49051,0.34537,0.17768,0.11568,0.04621,2.33624,2.41327,1.54154,0.000326044,0.000326044,0.000326044
8,869.358,2.29272,2.53855,1.4857,0.3422,0.20455,0.12077,0.04851,2.32751,2.52115,1.52306,0.000318718,0.000318718,0.000318718
9,970.927,2.28696,2.48143,1.4691,0.39035,0.21214,0.13887,0.0563,2.32281,2.32835,1.52277,0.000311392,0.000311392,0.000311392
10,1071.26,2.25859,2.40302,1.46649,0.31203,0.19847,0.14561,0.05852,2.31268,2.29333,1.5155,0.000304066,0.000304066,0.000304066
11,1170.2,2.22659,2.38356,1.44961,0.36862,0.228,0.15257,0.0622,2.30014,2.28293,1.52893,0.00029674,0.00029674,0.00029674
12,1273.25,2.22044,2.32587,1.45165,0.41392,0.226,0.15832,0.06401,2.30235,2.25464,1.51933,0.000289414,0.000289414,0.000289414
13,1377.05,2.22029,2.29785,1.44229,0.39134,0.23266,0.16165,0.06573,2.27165,2.23759,1.51693,0.000282088,0.000282088,0.000282088
14,1480.58,2.19602,2.25233,1.43446,0.36393,0.23917,0.16625,0.06901,2.27332,2.20667,1.49357,0.000274762,0.000274762,0.000274762
15,1583.07,2.19914,2.24669,1.43239,0.42279,0.22353,0.16163,0.06746,2.27493,2.24487,1.51756,0.000267436,0.000267436,0.000267436
16,1681.52,2.18499,2.23234,1.42738,0.37138,0.23477,0.17384,0.07202,2.27205,2.21595,1.48234,0.00026011,0.00026011,0.00026011
17,1782.13,2.1874,2.2096,1.41823,0.40344,0.24577,0.16361,0.06716,2.27588,2.32379,1.46991,0.000252784,0.000252784,0.000252784
18,1880.74,2.16107,2.18077,1.41663,0.41287,0.25218,0.18003,0.07536,2.22631,2.16277,1.46404,0.000245458,0.000245458,0.000245458
19,1982.62,2.16002,2.14775,1.41011,0.35473,0.26426,0.18911,0.07841,2.23596,2.16503,1.47475,0.000238132,0.000238132,0.000238132
20,2085.92,2.13982,2.11416,1.40682,0.43842,0.26378,0.20003,0.08247,2.25036,2.13284,1.47235,0.000230806,0.000230806,0.000230806
21,2186.71,2.16501,2.13126,1.39873,0.38286,0.2572,0.19889,0.08218,2.2515,2.13564,1.48368,0.00022348,0.00022348,0.00022348
22,2289.73,2.1439,2.09729,1.39141,0.35879,0.2752,0.19446,0.08091,2.24336,2.12097,1.46635,0.000216154,0.000216154,0.000216154
23,2391.89,2.13358,2.07645,1.39043,0.3721,0.26782,0.20049,0.08378,2.22329,2.1215,1.46606,0.000208828,0.000208828,0.000208828
24,2497.56,2.1237,2.05833,1.38313,0.4059,0.27091,0.20889,0.08915,2.23791,2.09869,1.45068,0.000201502,0.000201502,0.000201502
25,2601.59,2.10788,2.03479,1.38101,0.40272,0.29219,0.20994,0.08665,2.21503,2.1231,1.47297,0.000194176,0.000194176,0.000194176
26,2709.59,2.09449,2.01768,1.37192,0.39185,0.28579,0.21398,0.09143,2.21376,2.05427,1.45801,0.00018685,0.00018685,0.00018685
27,2818.17,2.11763,2.02498,1.39114,0.45335,0.28475,0.22181,0.09266,2.21368,2.05506,1.46925,0.000179524,0.000179524,0.000179524
